annotation_id,conversation_id,tweet_id,created_at,sampling_stratum,text_display,primary_intent,secondary_intent,confidence,is_ambiguous,needs_discussion,notes
b01_0020,conv_1341083,1341083,27-10-2017 15:18,random,@AmericanAir You’re my 2nd least fave airline. Flight was an hour late and now ground crew isn’t here at gate. Going to miss my connection 🙄,flight_delay,boarding_and_gate,high,,,Delay and gate/ground-crew issue both present; missed connection risk.
b01_0021,conv_1343135,1343135,27-10-2017 16:03,random,Gracias a @AmericanAir llevo más de 2 horas atrapadas en un avión... definitivamente es la peor aerolínea por estos lados!,UNCLEAR,,high,,yes,Spanish; unable to determine intent confidently.
b01_0022,conv_1366584,1366584,27-10-2017 21:17,random,@AmericanAir every passenger on flight 5465 from DCA to Charleston had to check their carryon saying to “won’t fit”. Clearly there’s room. https://t.co/ZMGsBNUgFI,baggage,,high,,,
b01_0023,conv_1413707,1413707,28-10-2017 19:48,random,Booooooooooo @AmericanAir 🙄🙄🙄🙄 sincerely flight 2207,general_dissatisfaction,,high,,yes,No actionable issue stated.
b01_0024,conv_1450375,1450375,02-11-2017 16:50,random,"@AmericanAir Hi.. if I took a flight from JFK to HKG that was 12k miles, why do I only get 8k award miles?  Isn't it one for one?",loyalty_and_lounge,,high,,,
b01_0025,conv_1462967,1462967,26-11-2017 01:44,random,@AmericanAir Pathetic service! Spoke to an associate on phone over a refund request. They charge $200 for rescheduling trips. Don't be fooled if they don't call it a cancellation fee. While rescheduling they just mention you would have to pay the difference.,booking_fees_and_fare_rules,,high,,,
b01_0026,conv_1500921,1500921,03-11-2017 15:24,random,Landed 25 minutes ago at LA still on plane because they have no one to open the door.  Really?? @AmericanAir,boarding_and_gate,,high,,,
b01_0027,conv_1512365,1512365,03-11-2017 17:52,random,Hey @AmericanAir Shawn at LBB does not get paid enough. He’s fantastic. Your flight service is another story.,praise_and_compliment,,high,,,
b01_0028,conv_1522528,1522528,17-10-2017 00:03,random,@AmericanAir YOU canceled our RESERVATIONS to SFO  now you are giving us a hard time about crediting our account.REALLY?#winecountryfires,flight_cancellation_rebooking,booking_fees_and_fare_rules,medium,yes,yes,Cancellation plus a separate issue with receiving account credit.
b01_0029,conv_1542198,1542198,03-11-2017 22:28,random,Flying @AmericanAir !,non_support_commentary,,high,,,No actionable request or specific issue
b01_0030,conv_1600794,1600794,05-11-2017 04:49,random,@AmericanAir 🤦‍♂️ takes my money for a flight I had to cancel and wants to charge me 400 to use the 600 I gave them originally. #crooks,booking_fees_and_fare_rules,,high,,,
b01_0031,conv_1615825,1615825,31-10-2017 16:25,random,@AmericanAir I'm going to see my brother's military graduation the end of November. I could use a promo code to help me save on my flight 😁,booking_fees_and_fare_rules,,high,,,
b01_0032,conv_1633436,1633436,05-11-2017 19:01,random,@AmericanAir seems to be confusing therapists and personal assistants.,OTHER,,low,,yes,Specific issue does not clearly fit an existing intent; possible customer-service/role issue
b01_0033,conv_1644778,1644778,06-11-2017 00:43,random,@AmericanAir you have a real star employee named Gina at the Seattle airport!She has been killing it for ea person that's needed help.#raise,praise_and_compliment,,high,,,
b01_0034,conv_1656073,1656073,17-10-2017 14:27,random,"@AmericanAir disappointed in you guys. Grounds crew jammed the tow bar in, delayed for 1 hour. Hire staff that knows what they’re doing.",staff_and_service_complaint,,high,,yes,One-hour delay caused by ground-crew/tow-bar issue; staff criticism is the stated cause rather than a separate issue.
b01_0035,conv_1656085,1656085,17-10-2017 14:17,random,Finally about to take off! #worsttravelexperienceever thanks @AmericanAir !!!! #delayAirline #AA,flight_delay,,high,,,
b01_0036,conv_1667263,1667263,17-10-2017 15:17,random,@AmericanAir what a poor value proposition it is 2 be an #EXP @67387 no longer worth being a loyal customer #13years &amp; going @Delta,general_dissatisfaction,,high,,,
b01_0037,conv_1710242,1710242,07-11-2017 01:00,random,@AmericanAir why has only 1/4 of my flights departed/arrived on time,flight_delay,,high,,,
b01_0038,conv_1771250,1771250,08-11-2017 00:38,random,@AmericanAir why is it every time I fly with you guys the flight is either incredibly late or is cancelled?,flight_delay,flight_cancellation_rebooking,high,yes,,Message describes both recurring delays and cancellations; delay is chosen as primary
b01_0039,conv_1846149,1846149,19-10-2017 18:28,random,@AmericanAir love the benefits that we can’t use ... lots of 500 mile upgrades that are as useful as your customer service 😂,loyalty_and_lounge,,medium,yes,yes,"Mentions 500-mile upgrades/benefits, but the exact underlying issue is unclear."
b01_0040,conv_185691,185691,04-10-2017 15:11,random,@AmericanAir im trying to get a refund! you're stealing me more than $700and no one contact me!I have a video of your personal insulting me!,booking_fees_and_fare_rules,,high,,,refund request
b01_0041,conv_1865447,1865447,20-10-2017 16:52,random,Why is the process of adding my mileage more of a hassle than an ease?! Please advise @AmericanAir.,loyalty_and_lounge,,high,,,
b01_0042,conv_1874548,1874548,21-10-2017 21:51,random,Wtf when I booked mine and Z's flight to Miami I booked us in seats next to each other. Suddenly we aren't @AmericanAir ?,seating_and_upgrade,,high,,,
b01_0043,conv_1886714,1886714,23-10-2017 13:15,random,Off to @46163 !! / Starting things off right with champagne in a plastic cup! Thanks @AmericanAir,praise_and_compliment,,high,,,
b01_0044,conv_1967444,1967444,31-10-2017 13:21,random,"How about an upgrade on my next leg, @AmericanAir since it's my birthday?",seating_and_upgrade,,high,,yes,I can't understand the message properly
b01_0045,conv_1985408,1985408,02-11-2017 04:49,random,"@AmericanAir you made me cry and made my already broken heart worse. I missed my connection to my moms memorial, and arrived late..💔😭😠",flight_delay,,medium,yes,yes,Late arrival caused a missed connection; underlying cause of lateness is not explicitly stated
b01_0046,conv_1996313,1996313,03-11-2017 15:46,random,"@AmericanAir so thanks to my original flight leaving late, then arriving late, I missed my connecting flight - the next one is in 2 hours.",flight_delay,,high,,,
b01_0047,conv_2037517,2037517,18-10-2017 22:13,random,@AmericanAir you've delayed my dca to lax flight for over an hour due to a late stewardess? Really?? Who does that!!??,flight_delay,,high,,yes,"Delay explicitly stated; staff member is mentioned as the cause, not a separate request"
b01_0048,conv_2091557,2091557,30-11-2017 19:41,random,plzzzzz let me fly home to see my family for Christmas :( @AmericanAir,UNCLEAR,,high,,,No specific actionable issue is stated.
b01_0049,conv_2098680,2098680,20-11-2017 18:50,random,"As a customer and AAdvantage member, I feel ashamed as @AmericanAir scams its customers. They charge for special seats that are not how they are reflected on the selection page.",seating_and_upgrade,booking_fees_and_fare_rules,medium,yes,yes,Complaint about paid seat selection and how the seat is represented; fee/fare boundary.
b01_0050,conv_2108141,2108141,08-11-2017 10:40,random,@122828 Why isn’t anyone at the Priority/First Class Check in?? I paid extra so I won’t have to wait in the line! #Notcool #disappointed https://t.co/GZISaqM7tM,boarding_and_gate,,medium,yes,yes,Priority/first-class check-in issue does not fit perfectly; paid service and check-in both involved.
b01_0051,conv_2131927,2131927,08-11-2017 19:07,random,"@AmericanAir Why would it take 1/2 hour, and still waiting, to get bags from #421 from DC?",baggage,,high,,,
b01_0052,conv_2189608,2189608,09-11-2017 20:05,random,It was a privilege to serve @315398 on @AmericanAir today! #triedtoremaincalm #hopeididnotfangirltoohard,non_support_commentary,,high,,,Likely crew/employee social post rather than customer support feedback
b01_0053,conv_2210094,2210094,10-11-2017 02:07,random,@AmericanAir So we wait for a plane to leave one gate. Now reassigned a new gate. Waiting on a plane there. #areyoufreakingkidding,boarding_and_gate,,high,,,
b01_0054,conv_2210173,2210173,10-11-2017 02:20,random,"Damn it. I did it again. Delays for days. Back on DL tomorrow. You are a terrible airline, @AmericanAir https://t.co/0A8bGD23CK",flight_delay,,medium,,yes,Complains about repeated delays but gives little specific flight context.
b01_0055,conv_2233754,2233754,10-11-2017 16:13,random,@AmericanAir happy snowy day at ORD! https://t.co/FPZOEusfWB,non_support_commentary,,high,,,no actionable issue stated.
b01_0056,conv_2239073,2239073,10-11-2017 13:58,random,"@AmericanAir Why??? A reason would be nice, considering you're adding 30 minutes to my travel time today https://t.co/xRZ9SenPOS",flight_delay,,high,,,
b01_0057,conv_2245008,2245008,10-11-2017 22:06,random,@AmericanAir How much checked baggage I am allowed as an One world sapphire member booking a ticket on basic economy for flight within US?,baggage,loyalty_and_lounge,high,yes,yes,Primary question is baggage allowance; OneWorld Sapphire status is relevant secondary context.
b01_0058,conv_2296099,2296099,12-11-2017 20:55,random,@AmericanAir your customer complaint form is broken 🙄. Where can I mail a letter?,OTHER,,high,,yes,Complaint-form/alternative complaint-submission method; website/app technical issue is not a v1 intent.
b01_0059,conv_2296848,2296848,12-11-2017 12:39,random,@AmericanAir really starting a bad mood for the whole day. Can't believe you let them be the firat customer interaction #CustomerServicefail,general_dissatisfaction,,medium,,yes,Negative customer-service experience stated without a specific actionable issue.
b01_0060,conv_2300340,2300340,19-10-2017 20:33,random,@AmericanAir... today they are saying their is something wrong with the paperwork of two of the passengers on the plane!,OTHER,,medium,,yes,Passenger paperwork/documentation issue; no existing v1 intent clearly covers it.
b01_0061,conv_2321706,2321706,19-10-2017 23:32,random,Awesome @AmericanAir #AA1387 went from a 5:20pm departure to a 9:30pm departure.  😡,flight_delay,,high,,,
b01_0062,conv_234921,234921,05-10-2017 12:51,random,@AmericanAir A22 Pre-Check DFW sure all these people pay for pre-check especially the children!!!! #dontblametsa https://t.co/y1o4BTnpR7,OTHER,,high,yes,yes,Airport security/PreCheck complaint; no clear v1 intent covers security screening.
b01_0063,conv_2363483,2363483,13-11-2017 21:32,random,@AmericanAir Thanks to Alisa Scott at the Platinum desk. The best customer service I ever had!! She is one of the reasons I fly AA,praise_and_compliment,,high,,,
b01_0064,conv_2366575,2366575,13-11-2017 22:49,random,Always a nice view flying in and out of San Diego @AmericanAir https://t.co/PLujrzfqcy,non_support_commentary,,medium,,yes,Positive travel/aviation commentary without a support request.
b01_0065,conv_2369878,2369878,13-11-2017 23:40,random,"Hey @AmericanAir way to list your flight as ""non-stop"" when it was actually a through flight. A four hour layover was a fun surprise.",booking_fees_and_fare_rules,,high,,,Complaint about itinerary/flight description at booking.
b01_0066,conv_2373654,2373654,29-10-2017 07:35,random,"@AmericanAir The largest plane I’ve ever flown in is the AA 757 and the A321, I’m eager to experience flying on a larger plane.",non_support_commentary,,high,,,
b01_0067,conv_2413154,2413154,14-11-2017 16:43,random,"How cool!  @AmericanAir Announces New Service from #DFW to #Reykjavik, Iceland! https://t.co/1wgwrTj3ZP https://t.co/woeE9kXIHL",non_support_commentary,,high,,yes,New-service announcement and travel information no support intent fits.
b01_0068,conv_248276,248276,05-10-2017 16:07,random,So far I’ve told 3 ppl to get off their phones in the new #ORD #AdmiralsClub QuietRoom @AmericanAir - #introvertproud,loyalty_and_lounge,,medium,yes,yes,Admirals Club/quiet-room complaint; lounge experience.
b01_0069,conv_2584631,2584631,16-11-2017 22:39,random,@AmericanAir Thank you Term D #admiralsclub agent who cleared our middle seat on flt36 #emptymiddleseat #DFW #firstleg,praise_and_compliment,,high,,,
b01_0070,conv_2621395,2621395,17-11-2017 16:07,random,@AmericanAir never fails to disappoint. I’d like to depart on time for once. Fix your broken ass planes. A sack of potatoes can run an airline better than you morons.,general_dissatisfaction,,high,,,General negative complaint without a specific actionable request.
b01_0071,conv_2710229,2710229,20-11-2017 01:32,random,@AmericanAir it would be helpful to advise of the reason the flight is delayed when it’s sitting at the jetway...,flight_delay,,high,,,Explicitly asks why the flight is delayed.
b01_0072,conv_2721563,2721563,26-11-2017 23:02,random,I specifically booked my flight so I would land in time to watch @3634 on #SNF but apparently @AmericanAir has another plan for me with a 3 hours + counting #delay #ugh #whereistheflightcrew,flight_delay,,high,,,
b01_0073,conv_2729549,2729549,20-11-2017 14:34,random,Seriously @AmericanAir I can't prepay for my pet &amp; have to see a ticket agent?! It's 2017... You might as well snail mail me my tickets too!,booking_fees_and_fare_rules,,medium,yes,yes,Pet-related ticket/payment process; taxonomy boundary is unclear.
b01_0074,conv_2748732,2748732,20-11-2017 23:17,random,"Amazing view of today’s sunset. @AmericanAir flight 1857 28,000 feet above Washington DC, row 17, seat F https://t.co/hSJr3iRvSX",non_support_commentary,,high,,,
b01_0075,conv_2755129,2755129,20-11-2017 21:02,random,I WILL NEVER FLY @AmericanAir EVER AGAIN. Thanks for not letting me gate check my daughters stroller! Now i have to carry a 1.5 yr old through one of the busiest airports!!! SO FRUSTRATING,baggage,,high,,yes,Stroller/gate-check issue is baggage-related.
b01_0076,conv_2783717,2783717,21-11-2017 17:17,random,@AmericanAir flight 1572 sitting on the run way for almost an hour. No gate to pull in. SAD,flight_delay,,high,,,
b01_0077,conv_2784936,2784936,21-11-2017 17:56,random,"@AmericanAir help! I forgot to use the promo code when booking, can it be added after the fact??",booking_fees_and_fare_rules,,high,,,
b01_0078,conv_27966,27966,01-11-2017 10:32,random,Thanks @AmericanAir agents in Albany and gate F26 in Philly for getting me home early yesterday. #timeisagift #neighborhoodtrickortreatfun,praise_and_compliment,,high,,,Thanks agents for helping them get home.
b01_0079,conv_2804658,2804658,22-11-2017 01:57,random,"@AmericanAir policy change request - please give priority to those with connecting flights. Just had to say “excuse me, please, flight boarding in 10 minutes” all the way from the back of the plane. Thankfully people were nice and I️ made it! Phew.",boarding_and_gate,,medium,yes,yes,Priority/boarding policy request involving connecting passengers.
b01_0080,conv_2807954,2807954,27-11-2017 01:00,random,"@AmericanAir, any bonus Advantage miles? Our pilot just walked off the plane to go home. We are now really late.",flight_delay,loyalty_and_lounge,medium,yes,yes,Thanks agents for helping them get home.
b01_0081,conv_2814078,2814078,27-11-2017 01:53,random,"About sums up our experience thusfar on @116450  / Flight dayed three times, different answer as to why each time. Customer service doesn't want to find a creative solution to get us near SFO sooner. Miss the @AmericanAir experience! https://t.co/LttmMpUO5C",flight_delay,,high,,yes,
b01_0082,conv_2815163,2815163,27-11-2017 02:44,random,"They made up for it with free upgrade to 1st class! Thanks @AmericanAir, sorry I doubted you!",seating_and_upgrade,,medium,yes,yes,Free upgrade is the concrete issue; praise/thanks is incidental.
b01_0083,conv_2817529,2817529,27-11-2017 04:02,random,@AmericanAir checked my mom’s carryon  &amp; misplaced it. I must publicly thank the baggage claim team 4 working tirelessly the past 24hrs to locate the luggage with  medication. Luggage delivered! Thx you 👌🏽👌🏽✈️,baggage,,high,,,Lost luggage/baggage claim and eventual delivery.
b01_0084,conv_2821385,2821385,27-11-2017 07:09,random,Love sitting on the runway for an hour 🙄 #sarcasm @AmericanAir @108206 @108207 #5monthspregnant 🤰 sooo need to be off this flight! ✈️,flight_delay,,high,,,Sitting on runway for an hour.
b01_0085,conv_2841271,2841271,27-11-2017 16:47,random,"@AmericanAir I had a flight canceled and was thrown on another flight in Oct.  Just now realizing that I didn't get my miles, but don't have info on that new flight to put in a request or ticket # because it was booked via a corp travel agent.  Can you help? It is 4 flights total",flight_cancellation_rebooking,loyalty_and_lounge,medium,yes,yes,Cancelled flight/rebooking plus missing miles information.
b01_0086,conv_2844796,2844796,27-11-2017 17:26,random,Thanks @AmericanAir for forcing us to check a carry on when there is plenty of overhead bins free on the plane.,baggage,,high,,,
b01_0087,conv_2863050,2863050,31-10-2017 19:20,random,@AmericanAir #disappointing #AA524 #PHL #TPA #NOTOK,general_dissatisfaction,,high,,,clearly shows the dissatisfaction
b01_0088,conv_2924121,2924121,29-11-2017 02:53,random,"@AmericanAir trying to contact your american numbers via skype and nothing is working, any help?",OTHER,,high,,yes,Trouble contacting American via phone/Skype; no v1 intent clearly covers it.
b01_0089,conv_2968550,2968550,29-11-2017 23:23,random,I sure wish @AmericanAir would swap out the embraer 145 with 170s or crj900s.  No first class is horrible.,seating_and_upgrade,,medium,yes,yes,Complaint about aircraft/cabin and lack of first class; cabin-class issue.
b01_0090,conv_298402,298402,02-10-2017 11:15,random,Unfortunately this delay is not acceptable. Flight @AmericanAir #AA4279. You have changed time three times on Monday morning.,flight_delay,,high,,,
b01_0091,conv_307021,307021,06-10-2017 23:21,random,In which @AmericanAir decides it is better to delay 90 people rather than bump someone they upgraded back down to steerage #brokenseatbelt,seating_and_upgrade,,medium,yes,yes,Complaint about someone being downgraded from an upgrade.
b01_0092,conv_327144,327144,07-10-2017 16:14,random,"just so you know, flight attendant Victoria on AA2097 deserves a medal! How she handles difficult passengers with a smile and grace -wow @AmericanAir She’s a keeper!! And she’s just friendly",praise_and_compliment,,high,,,
b01_0093,conv_347838,347838,08-10-2017 05:42,random,@AmericanAir is still bae❤️✈️ #firstclass https://t.co/Mn3Di1MTat,non_support_commentary,,medium,yes,yes,Affectionate social commentary; no specific service is evaluated.
b01_0094,conv_398942,398942,12-10-2017 01:46,random,@AmericanAir worst customer service at check in and curbside . I travel for a living . Why lie and say that I refused to check in carry on .,baggage,,high,yes,yes,Carry-on check-in dispute; also complains about customer service.
b01_0095,conv_410199,410199,09-10-2017 22:10,random,I need @AmericanAir help tracking lost luggage #AmericanAirlines,baggage,,high,,,
b01_0096,conv_415845,415845,10-10-2017 01:21,random,Terrible customer service and treatment at LAX today from @AmericanAir charging double for a carry-on bag,baggage,,high,yes,yes,Double charge for carry-on plus customer-service complaint.
b01_0097,conv_450985,450985,30-11-2017 21:30,random,@AmericanAir Flight from PBI TO ORD delayed because a flight attended is stuck in traffic?? What happens if I miss my connection? #airlines #AmericanAirlines #late #travel #fly #flight,flight_delay,,high,,,
b01_0098,conv_46982,46982,01-11-2017 16:39,random,"Hey @americanair @116462 sweet in-flight movies! I,Robot! First Garfield Spiderman! Unfaithful! It's like having CVS $5 DVD bin right with me!",praise_and_compliment,,high,,yes,not sure about this is correct
b01_0099,conv_522782,522782,02-12-2017 04:12,random,@AmericanAir WiFi marketed flight but no WiFi available. What gives? https://t.co/l30JiJNwFT,OTHER,,high,,yes,In-flight Wi-Fi unavailable; no current v1 intent covers this.
b01_0100,conv_557335,557335,02-12-2017 21:25,random,"Y’all, for realzies, @AmericanAir wants you to take adv of this “ltd time,” multi-year offer. 😡 Does @117157 or @749 compensate for this? https://t.co/EYlG8UWVdE",OTHER,,medium,yes,yes,Multi-year offer/compensation issue does not clearly fit v1.
b01_0101,conv_562512,562512,02-12-2017 23:00,random,@AmericanAir im on 1809 to msy you can take me off of 733,flight_cancellation_rebooking,,medium,yes,yes,Likely request to be removed from one flight and remain on another; wording is unclear.
b01_0102,conv_583161,583161,03-12-2017 11:06,random,@AmericanAir When is the Flagship Lounge at LAX going to open?,loyalty_and_lounge,,high,,,
b01_0103,conv_602886,602886,03-12-2017 22:18,random,@AmericanAir I am not a big dude and I can barely fit in your seats on a 737-800.  Ridiculous.,seating_and_upgrade,,high,,,
b01_0104,conv_632306,632306,22-11-2017 16:04,random,Was just told by @AmericanAir that a change fee of 50% of my original ticket is fair because I should buy their insurance. Wow. Trip is still 4 months out. I don't see anything fair about gouging customers to sell insurance. A fee is fair. A 50% fee is shameful.,booking_fees_and_fare_rules,,high,,yes,not sure about it
b01_0105,conv_645246,645246,22-11-2017 18:12,random,Another flight delay because @AmericanAir can never schedule 2 flight attendants for one flight🙄🙄🙄,flight_delay,,high,,,
b01_0106,conv_656977,656977,05-10-2017 13:15,random,My 10pm @AmericanAir flight was already listed as delayed by 8am so this ought to be a delightful travel day.,flight_delay,,high,,,Flight already listed as delayed; sarcastic wording.
b01_0107,conv_661923,661923,23-11-2017 00:25,random,Hey @AmericanAir. Flight 4949 flight attendant named Josh. Guy is an all star with a solid in-flight comedy routine to boot. This man deserves a raise!,praise_and_compliment,,high,,,Direct praise of flight attendant Josh.
b01_0108,conv_697114,697114,05-10-2017 22:54,random,How does @AmericanAir always seem to know when I really need to be somewhere? Chances of me getting home just dropped to zero. Thanks. 🙄,flight_delay,,medium,yes,yes,"Strongly implies a travel delay/disruption, but exact cause isn't stated."
b01_0109,conv_727003,727003,11-10-2017 06:23,random,When @AmericanAir has @15102 yasss!! https://t.co/Fq72p2Dv0Q,non_support_commentary,,high,,yes,not any specific words 
b01_0110,conv_732292,732292,06-10-2017 19:08,random,@AmericanAir is trying to kill me.,general_dissatisfaction,,high,,yes,message is not specifying any cause
b01_0111,conv_769333,769333,11-10-2017 22:23,random,@AmericanAir Flight 598 delayed again for four hours. Third bad experience with American airlines. I won't fly with AA anymore.,flight_delay,,high,,,
b01_0112,conv_771435,771435,12-10-2017 00:06,random,"Sooo @AmericanAir , what is yalls plan to fix my friends' honeymoon you ruined? #GetOnThat #ShameOnAA #DontFlyAmericanAirlines 👎🏼✈️ https://t.co/ZQrsmrfdkB",general_dissatisfaction,,medium,yes,yes,Honeymoon/travel experience ruined; exact issue unclear
b01_0113,conv_773916,773916,12-10-2017 01:39,random,"@AmericanAir explain this, volunteers who give up their seats get $500 voucher, my wife and I have our flight changed an get “sorry”",booking_fees_and_fare_rules,,medium,yes,yes,Flight changed + voucher/compensation issue
b01_0114,conv_783533,783533,05-11-2017 14:46,random,@131657 am i allowed into @AmericanAir lounge at ord ter4 being oneworld sapphire? Somehow @AmericanAir agents at club thinks qatar is not OW and not letting me in. Do u want a video recording?,loyalty_and_lounge,,medium,,yes,not sure about the answer
b01_0115,conv_790828,790828,08-10-2017 01:23,random,Very proud to have the families of our employees see their workplace. What the @AmericanAir team does in Tulsa is AAmazing! #greatteam https://t.co/uBgxQRKeqs,non_support_commentary,,high,,,
b01_0116,conv_805729,805729,12-10-2017 17:35,random,"Had the worst flight with @AmericanAir last night, but at least I’m home",general_dissatisfaction,,high,,,
b01_0117,conv_854899,854899,20-10-2017 15:51,random,"@AmericanAir #flightnumber63  14 months old, but 16 hours in the air. https://t.co/utRU97lmVI",non_support_commentary,,medium,yes,yes,cant understand the message
b01_0118,conv_862333,862333,13-10-2017 14:22,random,Can feel the anger emanating from PHL - hubs flight canceled.  Friends waiting. What gives @AmericanAir ? #4861 Fix in sight?,flight_cancellation_rebooking,,high,,,
b01_0119,conv_870563,870563,13-10-2017 15:22,random,@AmericanAir still waiting on my refund for both tickets for flight HKRQIH. Your refund status page isn't working,booking_fees_and_fare_rules,,high,,,
b01_0120,conv_941292,941292,13-10-2017 23:06,random,Pretty sure the name of the @AmericanAir game is to delay my flight and make me miss my connection :/,flight_delay,,high,,,
b01_0121,conv_1186693,1186693,24-10-2017 23:21,targeted,Not cool at @AmericanAir arrived at the gate at 4:10pm and the agent had already given away the upgrade and moved on to # 4. Ridiculous. https://t.co/tWdtOtEsNu,seating_and_upgrade,,high,,yes,
b01_0122,conv_1253419,1253419,26-10-2017 05:56,targeted,@AmericanAir due to the hurricane we have no hotel! We cancelled our flights with all of the other airlines. Why won't AA provide refund?,flight_cancellation_rebooking,booking_fees_and_fare_rules,medium,yes,yes,Cancelled flights + asking about refund
b01_0123,conv_1278292,1278292,26-10-2017 16:12,targeted,"@AmericanAir Got married, need to change my last name on my Aadvantage. Tried emailing - Trip is Saturday - let's solve it here! Thanks! :-)",loyalty_and_lounge,,high,,yes,
b01_0124,conv_1309521,1309521,25-11-2017 20:40,targeted,I want to reschedule one of my flights for winter break but the change fee is $200 why is american airlines like this,booking_fees_and_fare_rules,,high,,,
b01_0125,conv_1382254,1382254,28-10-2017 06:20,targeted,"Gotta love when @AmericanAir delays your flight 3+ hours, then doesn’t let your first class ticket in the lounge. Customer lost.",flight_delay,loyalty_and_lounge,high,yes,yes,Major delay + first-class lounge access complaint
b01_0126,conv_1407676,1407676,01-11-2017 22:15,targeted,"Thanks to Isaac, @AmericanAir flight attendant extraordinaire on #489 PHX to PGH 11/1. What a great personality!",praise_and_compliment,,high,,,
