retest_id,text,primary_intent,secondary_intent,confidence,is_ambiguous,needs_discussion,notes
rt_032,@AmericanAir really starting a bad mood for the whole day. Can't believe you let them be the firat customer interaction #CustomerServicefail,general_dissatisfaction,,high,,,
rt_033,"@AmericanAir Got married, need to change my last name on my Aadvantage. Tried emailing - Trip is Saturday - let's solve it here! Thanks! :-)",loyalty_and_lounge,,high,,,Explicitly about changing the last name on an AAdvantage account
rt_034,@AmericanAir sent this 50 min ago-no response. Does AA plan to acknowledge Visa dispute USA/Turkey &amp;offer help to those who cant get a visa?,OTHER,,high,,,Visa/travel-document assistance is a genuine support issue outside the taxonomy
rt_035,I need @AmericanAir help tracking lost luggage #AmericanAirlines,baggage,,high,,,
rt_036,My flight on @116450 in Little Rock  cancelled in AM w/ mech. problems...Jacqueline at gate 9 @AmericanAir got me home today #giveheraraise,flight_cancellation_rebooking,,high,,,
rt_037,".@americanair JFK - MIA #consulting #early (@ American Airlines Flagship Lounge - @americanair in Jamaica, NY) https://t.co/k8wI3R6h7o",non_support_commentary,,high,,,
rt_038,"Y’all, for realzies, @AmericanAir wants you to take adv of this “ltd time,” multi-year offer. 😡 Does @117157 or @749 compensate for this? https://t.co/EYlG8UWVdE",booking_fees_and_fare_rules,,high,,,
rt_039,"How about an upgrade on my next leg, @AmericanAir since it's my birthday?",seating_and_upgrade,,high,,,
rt_040,My @AmericanAir flight got delayed two whole hours...swear y’all trash,flight_delay,,high,,,
rt_041,@AmericanAir now we have computer  problems and were shutting down engines!  WTF?  #MuellerMonday not starting well!  Let’s go!,OTHER,,high,,,Computer problems and shutting down engines are a genuine operational/inflight issue outside the defined categories.
rt_042,"@AmericanAir bad service, not gonna fly ever again with you guys. #BadCustomerService",general_dissatisfaction,,high,,,
rt_043,plzzzzz let me fly home to see my family for Christmas :( @AmericanAir,general_dissatisfaction,,high,,,
rt_044,@AmericanAir - What if a passenger does not have the money for a bag fee when they arrive at the airport? How is that handled?,baggage,,high,,,
rt_045,Wonderful Flagship Lounge at JFK @AmericanAir https://t.co/6Gmh9xZxpg,praise_and_compliment,,high,,,
