annotation_id,batch,sampling_stratum,taxonomy_at_labelling,labelling_independence,conversation_id,tweet_id,customer_author_id,created_at,text,primary_intent,secondary_intent,confidence,ambiguous,needs_discussion,notes
b01_0011,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1155805,1155805,391891,15-10-2017 16:40,.@AmericanAir Michael Fernandez from your team working at ORD is amazing. Flight from BUF-&gt;ORD got messed up and he helped us fix things!,praise_and_compliment,,medium,yes,yes,Praises a staff member; flight issue is mentioned but not specific enough to confidently assign a separate operational intent.
b01_0012,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1178232,1178232,395754,24-10-2017 21:13,If he doesn’t like his job he shouldn’t be working in customer service! Switch positions do something else. Sheesh! #AmericanAirlines,staff_and_service_complaint,,high,,,
b01_0013,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1182208,1182208,398012,15-10-2017 19:29,s/o to @AmericanAir who refunds you when you tell them how your ex still owes you money and you have a plane/cruise ticket in his name 🤷🏼‍♀️,booking_fees_and_fare_rules,,low,yes,yes,Refund/ticket ownership situation; unclear whether this fits booking/fare rules cleanly.
b01_0014,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1186015,1186015,117889,24-10-2017 23:00,That was my first time on an @AmericanAir @167849 Dash-8!  It was a great flight from AVP &gt; PHL. Diane &amp; the crew did a great job.,praise_and_compliment,,high,,,
b01_0015,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1201537,1201537,402314,15-10-2017 22:26,Can’t remember the last time I did NOT sit in overflow after an @AmericanAir flight. Such a waste of time,general_dissatisfaction,,medium,,yes,Complains about overflow/waiting but the specific underlying support issue is unclear.
b01_0016,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1220147,1220147,406273,25-10-2017 14:57,"@AmericanAir hello, we were delayed 8 hours yesterday. How do we claim compensation?",flight_delay,booking_fees_and_fare_rules,medium,yes,yes,Primary issue is an 8-hour delay; compensation request creates a second fare/refund-related aspect.
b01_0017,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1232017,1232017,408958,25-11-2017 19:40,"@AmericanAir we fly often and pay enough for our seats, to not have to have them changed 2 minutes before boarding our first out of 2 flights - Is this how you treat your customers?",seating_and_upgrade,,high,,,
b01_0018,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1272226,1272226,408457,16-10-2017 07:10,@AmericanAir customer service reps at PHX assistance at gate A4 are RUDE AS FUCK https://t.co/TLlA3QcBSO,staff_and_service_complaint,,high,,,
b01_0019,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1295943,1295943,422918,26-10-2017 21:32,"I'm at American Airlines Admirals Club - @americanair in Miami, FL https://t.co/CU3fEy9Yeu",non_support_commentary,,high,,,Only states location/Admirals Club; no clear customer request.
b01_0020,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1341083,1341083,432812,27-10-2017 15:18,@AmericanAir You’re my 2nd least fave airline. Flight was an hour late and now ground crew isn’t here at gate. Going to miss my connection 🙄,flight_delay,boarding_and_gate,high,,,Delay and gate/ground-crew issue both present; missed connection risk.
b01_0021,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1343135,1343135,433247,27-10-2017 16:03,Gracias a @AmericanAir llevo más de 2 horas atrapadas en un avión... definitivamente es la peor aerolínea por estos lados!,UNCLEAR,,high,,yes,Spanish; unable to determine intent confidently.
b01_0022,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1366584,1366584,438121,27-10-2017 21:17,@AmericanAir every passenger on flight 5465 from DCA to Charleston had to check their carryon saying to “won’t fit”. Clearly there’s room. https://t.co/ZMGsBNUgFI,baggage,,high,,,
b01_0023,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1413707,1413707,448536,28-10-2017 19:48,Booooooooooo @AmericanAir 🙄🙄🙄🙄 sincerely flight 2207,general_dissatisfaction,,high,,yes,No actionable issue stated.
b01_0024,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1450375,1450375,456558,02-11-2017 16:50,"@AmericanAir Hi.. if I took a flight from JFK to HKG that was 12k miles, why do I only get 8k award miles?  Isn't it one for one?",loyalty_and_lounge,,high,,,
b01_0025,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1462967,1462967,459562,26-11-2017 01:44,@AmericanAir Pathetic service! Spoke to an associate on phone over a refund request. They charge $200 for rescheduling trips. Don't be fooled if they don't call it a cancellation fee. While rescheduling they just mention you would have to pay the difference.,booking_fees_and_fare_rules,,high,,,
b01_0026,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1500921,1500921,468457,03-11-2017 15:24,Landed 25 minutes ago at LA still on plane because they have no one to open the door.  Really?? @AmericanAir,boarding_and_gate,,high,,,
b01_0027,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1512365,1512365,471016,03-11-2017 17:52,Hey @AmericanAir Shawn at LBB does not get paid enough. He’s fantastic. Your flight service is another story.,praise_and_compliment,,high,,,
b01_0028,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1522528,1522528,473127,17-10-2017 00:03,@AmericanAir YOU canceled our RESERVATIONS to SFO  now you are giving us a hard time about crediting our account.REALLY?#winecountryfires,flight_cancellation_rebooking,booking_fees_and_fare_rules,medium,yes,yes,Cancellation plus a separate issue with receiving account credit.
b01_0029,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1542198,1542198,195193,03-11-2017 22:28,Flying @AmericanAir !,non_support_commentary,,high,,,No actionable request or specific issue
b01_0030,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1600794,1600794,491490,05-11-2017 04:49,@AmericanAir 🤦‍♂️ takes my money for a flight I had to cancel and wants to charge me 400 to use the 600 I gave them originally. #crooks,booking_fees_and_fare_rules,,high,,,
b01_0031,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1615825,1615825,495542,31-10-2017 16:25,@AmericanAir I'm going to see my brother's military graduation the end of November. I could use a promo code to help me save on my flight 😁,booking_fees_and_fare_rules,,high,,,
b01_0032,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1633436,1633436,484326,05-11-2017 19:01,@AmericanAir seems to be confusing therapists and personal assistants.,OTHER,,low,,yes,Specific issue does not clearly fit an existing intent; possible customer-service/role issue
b01_0033,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1644778,1644778,500947,06-11-2017 00:43,@AmericanAir you have a real star employee named Gina at the Seattle airport!She has been killing it for ea person that's needed help.#raise,praise_and_compliment,,high,,,
b01_0034,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1656073,1656073,505351,17-10-2017 14:27,"@AmericanAir disappointed in you guys. Grounds crew jammed the tow bar in, delayed for 1 hour. Hire staff that knows what they’re doing.",staff_and_service_complaint,,high,,yes,One-hour delay caused by ground-crew/tow-bar issue; staff criticism is the stated cause rather than a separate issue.
b01_0035,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1656085,1656085,274150,17-10-2017 14:17,Finally about to take off! #worsttravelexperienceever thanks @AmericanAir !!!! #delayAirline #AA,flight_delay,,high,,,
b01_0036,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1667263,1667263,145082,17-10-2017 15:17,@AmericanAir what a poor value proposition it is 2 be an #EXP @67387 no longer worth being a loyal customer #13years &amp; going @Delta,general_dissatisfaction,,high,,,
b01_0037,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1710242,1710242,272445,07-11-2017 01:00,@AmericanAir why has only 1/4 of my flights departed/arrived on time,flight_delay,,high,,,
b01_0038,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1771250,1771250,532427,08-11-2017 00:38,@AmericanAir why is it every time I fly with you guys the flight is either incredibly late or is cancelled?,flight_delay,flight_cancellation_rebooking,high,yes,,Message describes both recurring delays and cancellations; delay is chosen as primary
b01_0039,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1846149,1846149,552977,19-10-2017 18:28,@AmericanAir love the benefits that we can’t use ... lots of 500 mile upgrades that are as useful as your customer service 😂,loyalty_and_lounge,,medium,yes,yes,"Mentions 500-mile upgrades/benefits, but the exact underlying issue is unclear."
b01_0040,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_185691,185691,159665,04-10-2017 15:11,@AmericanAir im trying to get a refund! you're stealing me more than $700and no one contact me!I have a video of your personal insulting me!,booking_fees_and_fare_rules,,high,,,refund request
b01_0041,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1865447,1865447,306331,20-10-2017 16:52,Why is the process of adding my mileage more of a hassle than an ease?! Please advise @AmericanAir.,loyalty_and_lounge,,high,,,
b01_0042,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1874548,1874548,545724,21-10-2017 21:51,Wtf when I booked mine and Z's flight to Miami I booked us in seats next to each other. Suddenly we aren't @AmericanAir ?,seating_and_upgrade,,high,,,
b01_0043,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1886714,1886714,253533,23-10-2017 13:15,Off to @46163 !! / Starting things off right with champagne in a plastic cup! Thanks @AmericanAir,praise_and_compliment,,high,,,
b01_0044,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1967444,1967444,482277,31-10-2017 13:21,"How about an upgrade on my next leg, @AmericanAir since it's my birthday?",seating_and_upgrade,,high,,yes,I can't understand the message properly
b01_0045,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1985408,1985408,587698,02-11-2017 04:49,"@AmericanAir you made me cry and made my already broken heart worse. I missed my connection to my moms memorial, and arrived late..💔😭😠",flight_delay,,medium,yes,yes,Late arrival caused a missed connection; underlying cause of lateness is not explicitly stated
b01_0046,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_1996313,1996313,590298,03-11-2017 15:46,"@AmericanAir so thanks to my original flight leaving late, then arriving late, I missed my connecting flight - the next one is in 2 hours.",flight_delay,,high,,,
b01_0047,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2037517,2037517,602453,18-10-2017 22:13,@AmericanAir you've delayed my dca to lax flight for over an hour due to a late stewardess? Really?? Who does that!!??,flight_delay,,high,,yes,"Delay explicitly stated; staff member is mentioned as the cause, not a separate request"
b01_0048,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2091557,2091557,618115,30-11-2017 19:41,plzzzzz let me fly home to see my family for Christmas :( @AmericanAir,UNCLEAR,,high,,,No specific actionable issue is stated.
b01_0049,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2098680,2098680,619936,20-11-2017 18:50,"As a customer and AAdvantage member, I feel ashamed as @AmericanAir scams its customers. They charge for special seats that are not how they are reflected on the selection page.",seating_and_upgrade,booking_fees_and_fare_rules,medium,yes,yes,Complaint about paid seat selection and how the seat is represented; fee/fare boundary.
b01_0050,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2108141,2108141,497354,08-11-2017 10:40,@122828 Why isn’t anyone at the Priority/First Class Check in?? I paid extra so I won’t have to wait in the line! #Notcool #disappointed https://t.co/GZISaqM7tM,boarding_and_gate,,medium,yes,yes,Priority/first-class check-in issue does not fit perfectly; paid service and check-in both involved.
b01_0051,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2131927,2131927,627395,08-11-2017 19:07,"@AmericanAir Why would it take 1/2 hour, and still waiting, to get bags from #421 from DC?",baggage,,high,,,
b01_0052,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2189608,2189608,641037,09-11-2017 20:05,It was a privilege to serve @315398 on @AmericanAir today! #triedtoremaincalm #hopeididnotfangirltoohard,non_support_commentary,,high,,,Likely crew/employee social post rather than customer support feedback
b01_0053,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2210094,2210094,642759,10-11-2017 02:07,@AmericanAir So we wait for a plane to leave one gate. Now reassigned a new gate. Waiting on a plane there. #areyoufreakingkidding,boarding_and_gate,,high,,,
b01_0054,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2210173,2210173,332381,10-11-2017 02:20,"Damn it. I did it again. Delays for days. Back on DL tomorrow. You are a terrible airline, @AmericanAir https://t.co/0A8bGD23CK",flight_delay,,medium,,yes,Complains about repeated delays but gives little specific flight context.
b01_0055,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2233754,2233754,416715,10-11-2017 16:13,@AmericanAir happy snowy day at ORD! https://t.co/FPZOEusfWB,non_support_commentary,,high,,,no actionable issue stated.
b01_0056,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2239073,2239073,651586,10-11-2017 13:58,"@AmericanAir Why??? A reason would be nice, considering you're adding 30 minutes to my travel time today https://t.co/xRZ9SenPOS",flight_delay,,high,,,
b01_0057,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2245008,2245008,288852,10-11-2017 22:06,@AmericanAir How much checked baggage I am allowed as an One world sapphire member booking a ticket on basic economy for flight within US?,baggage,loyalty_and_lounge,high,yes,yes,Primary question is baggage allowance; OneWorld Sapphire status is relevant secondary context.
b01_0058,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2296099,2296099,323088,12-11-2017 20:55,@AmericanAir your customer complaint form is broken 🙄. Where can I mail a letter?,OTHER,,high,,yes,Complaint-form/alternative complaint-submission method; website/app technical issue is not a v1 intent.
b01_0059,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2296848,2296848,303488,12-11-2017 12:39,@AmericanAir really starting a bad mood for the whole day. Can't believe you let them be the firat customer interaction #CustomerServicefail,general_dissatisfaction,,medium,,yes,Negative customer-service experience stated without a specific actionable issue.
b01_0060,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2300340,2300340,667649,19-10-2017 20:33,@AmericanAir... today they are saying their is something wrong with the paperwork of two of the passengers on the plane!,OTHER,,medium,,yes,Passenger paperwork/documentation issue; no existing v1 intent clearly covers it.
b01_0061,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2321706,2321706,672791,19-10-2017 23:32,Awesome @AmericanAir #AA1387 went from a 5:20pm departure to a 9:30pm departure.  😡,flight_delay,,high,,,
b01_0062,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_234921,234921,171943,05-10-2017 12:51,@AmericanAir A22 Pre-Check DFW sure all these people pay for pre-check especially the children!!!! #dontblametsa https://t.co/y1o4BTnpR7,OTHER,,high,yes,yes,Airport security/PreCheck complaint; no clear v1 intent covers security screening.
b01_0063,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2363483,2363483,682413,13-11-2017 21:32,@AmericanAir Thanks to Alisa Scott at the Platinum desk. The best customer service I ever had!! She is one of the reasons I fly AA,praise_and_compliment,,high,,,
b01_0064,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2366575,2366575,683149,13-11-2017 22:49,Always a nice view flying in and out of San Diego @AmericanAir https://t.co/PLujrzfqcy,non_support_commentary,,medium,,yes,Positive travel/aviation commentary without a support request.
b01_0065,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2369878,2369878,683903,13-11-2017 23:40,"Hey @AmericanAir way to list your flight as ""non-stop"" when it was actually a through flight. A four hour layover was a fun surprise.",booking_fees_and_fare_rules,,high,,,Complaint about itinerary/flight description at booking.
b01_0066,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2373654,2373654,684771,29-10-2017 07:35,"@AmericanAir The largest plane I’ve ever flown in is the AA 757 and the A321, I’m eager to experience flying on a larger plane.",non_support_commentary,,high,,,
b01_0067,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2413154,2413154,259207,14-11-2017 16:43,"How cool!  @AmericanAir Announces New Service from #DFW to #Reykjavik, Iceland! https://t.co/1wgwrTj3ZP https://t.co/woeE9kXIHL",non_support_commentary,,high,,yes,New-service announcement and travel information no support intent fits.
b01_0068,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_248276,248276,174981,05-10-2017 16:07,So far I’ve told 3 ppl to get off their phones in the new #ORD #AdmiralsClub QuietRoom @AmericanAir - #introvertproud,loyalty_and_lounge,,medium,yes,yes,Admirals Club/quiet-room complaint; lounge experience.
b01_0069,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2584631,2584631,122515,16-11-2017 22:39,@AmericanAir Thank you Term D #admiralsclub agent who cleared our middle seat on flt36 #emptymiddleseat #DFW #firstleg,praise_and_compliment,,high,,,
b01_0070,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2621395,2621395,740685,17-11-2017 16:07,@AmericanAir never fails to disappoint. I’d like to depart on time for once. Fix your broken ass planes. A sack of potatoes can run an airline better than you morons.,general_dissatisfaction,,high,,,General negative complaint without a specific actionable request.
b01_0071,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2710229,2710229,725965,20-11-2017 01:32,@AmericanAir it would be helpful to advise of the reason the flight is delayed when it’s sitting at the jetway...,flight_delay,,high,,,Explicitly asks why the flight is delayed.
b01_0072,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2721563,2721563,763593,26-11-2017 23:02,I specifically booked my flight so I would land in time to watch @3634 on #SNF but apparently @AmericanAir has another plan for me with a 3 hours + counting #delay #ugh #whereistheflightcrew,flight_delay,,high,,,
b01_0073,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2729549,2729549,765279,20-11-2017 14:34,Seriously @AmericanAir I can't prepay for my pet &amp; have to see a ticket agent?! It's 2017... You might as well snail mail me my tickets too!,booking_fees_and_fare_rules,,medium,yes,yes,Pet-related ticket/payment process; taxonomy boundary is unclear.
b01_0074,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2748732,2748732,769616,20-11-2017 23:17,"Amazing view of today’s sunset. @AmericanAir flight 1857 28,000 feet above Washington DC, row 17, seat F https://t.co/hSJr3iRvSX",non_support_commentary,,high,,,
b01_0075,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2755129,2755129,771155,20-11-2017 21:02,I WILL NEVER FLY @AmericanAir EVER AGAIN. Thanks for not letting me gate check my daughters stroller! Now i have to carry a 1.5 yr old through one of the busiest airports!!! SO FRUSTRATING,baggage,,high,,yes,Stroller/gate-check issue is baggage-related.
b01_0076,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2783717,2783717,777293,21-11-2017 17:17,@AmericanAir flight 1572 sitting on the run way for almost an hour. No gate to pull in. SAD,flight_delay,,high,,,
b01_0077,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2784936,2784936,777583,21-11-2017 17:56,"@AmericanAir help! I forgot to use the promo code when booking, can it be added after the fact??",booking_fees_and_fare_rules,,high,,,
b01_0078,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_27966,27966,122129,01-11-2017 10:32,Thanks @AmericanAir agents in Albany and gate F26 in Philly for getting me home early yesterday. #timeisagift #neighborhoodtrickortreatfun,praise_and_compliment,,high,,,Thanks agents for helping them get home.
b01_0079,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2804658,2804658,782285,22-11-2017 01:57,"@AmericanAir policy change request - please give priority to those with connecting flights. Just had to say “excuse me, please, flight boarding in 10 minutes” all the way from the back of the plane. Thankfully people were nice and I️ made it! Phew.",boarding_and_gate,,medium,yes,yes,Priority/boarding policy request involving connecting passengers.
b01_0080,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2807954,2807954,783106,27-11-2017 01:00,"@AmericanAir, any bonus Advantage miles? Our pilot just walked off the plane to go home. We are now really late.",flight_delay,loyalty_and_lounge,medium,yes,yes,Thanks agents for helping them get home.
b01_0081,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2814078,2814078,784594,27-11-2017 01:53,"About sums up our experience thusfar on @116450  / Flight dayed three times, different answer as to why each time. Customer service doesn't want to find a creative solution to get us near SFO sooner. Miss the @AmericanAir experience! https://t.co/LttmMpUO5C",flight_delay,,high,,yes,
b01_0082,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2815163,2815163,784379,27-11-2017 02:44,"They made up for it with free upgrade to 1st class! Thanks @AmericanAir, sorry I doubted you!",seating_and_upgrade,,medium,yes,yes,Free upgrade is the concrete issue; praise/thanks is incidental.
b01_0083,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2817529,2817529,785417,27-11-2017 04:02,@AmericanAir checked my mom’s carryon  &amp; misplaced it. I must publicly thank the baggage claim team 4 working tirelessly the past 24hrs to locate the luggage with  medication. Luggage delivered! Thx you 👌🏽👌🏽✈️,baggage,,high,,,Lost luggage/baggage claim and eventual delivery.
b01_0084,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2821385,2821385,786314,27-11-2017 07:09,Love sitting on the runway for an hour 🙄 #sarcasm @AmericanAir @108206 @108207 #5monthspregnant 🤰 sooo need to be off this flight! ✈️,flight_delay,,high,,,Sitting on runway for an hour.
b01_0085,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2841271,2841271,202843,27-11-2017 16:47,"@AmericanAir I had a flight canceled and was thrown on another flight in Oct.  Just now realizing that I didn't get my miles, but don't have info on that new flight to put in a request or ticket # because it was booked via a corp travel agent.  Can you help? It is 4 flights total",flight_cancellation_rebooking,loyalty_and_lounge,medium,yes,yes,Cancelled flight/rebooking plus missing miles information.
b01_0086,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2844796,2844796,791357,27-11-2017 17:26,Thanks @AmericanAir for forcing us to check a carry on when there is plenty of overhead bins free on the plane.,baggage,,high,,,
b01_0087,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2863050,2863050,795292,31-10-2017 19:20,@AmericanAir #disappointing #AA524 #PHL #TPA #NOTOK,general_dissatisfaction,,high,,,clearly shows the dissatisfaction
b01_0088,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2924121,2924121,809161,29-11-2017 02:53,"@AmericanAir trying to contact your american numbers via skype and nothing is working, any help?",OTHER,,high,,yes,Trouble contacting American via phone/Skype; no v1 intent clearly covers it.
b01_0089,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_2968550,2968550,185274,29-11-2017 23:23,I sure wish @AmericanAir would swap out the embraer 145 with 170s or crj900s.  No first class is horrible.,seating_and_upgrade,,medium,yes,yes,Complaint about aircraft/cabin and lack of first class; cabin-class issue.
b01_0090,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_298402,298402,187102,02-10-2017 11:15,Unfortunately this delay is not acceptable. Flight @AmericanAir #AA4279. You have changed time three times on Monday morning.,flight_delay,,high,,,
b01_0091,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_307021,307021,189313,06-10-2017 23:21,In which @AmericanAir decides it is better to delay 90 people rather than bump someone they upgraded back down to steerage #brokenseatbelt,seating_and_upgrade,,medium,yes,yes,Complaint about someone being downgraded from an upgrade.
b01_0092,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_327144,327144,193966,07-10-2017 16:14,"just so you know, flight attendant Victoria on AA2097 deserves a medal! How she handles difficult passengers with a smile and grace -wow @AmericanAir She’s a keeper!! And she’s just friendly",praise_and_compliment,,high,,,
b01_0093,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_347838,347838,198834,08-10-2017 05:42,@AmericanAir is still bae❤️✈️ #firstclass https://t.co/Mn3Di1MTat,non_support_commentary,,medium,yes,yes,Affectionate social commentary; no specific service is evaluated.
b01_0094,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_398942,398942,210343,12-10-2017 01:46,@AmericanAir worst customer service at check in and curbside . I travel for a living . Why lie and say that I refused to check in carry on .,baggage,,high,yes,yes,Carry-on check-in dispute; also complains about customer service.
b01_0095,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_410199,410199,212847,09-10-2017 22:10,I need @AmericanAir help tracking lost luggage #AmericanAirlines,baggage,,high,,,
b01_0096,b01,random,v1_then_revised_to_v2,taxonomy_refined_after_reading,conv_415845,415845,214174,10-10-2017 01:21,Terrible customer service and treatment at LAX today from @AmericanAir charging double for a carry-on bag,baggage,,high,yes,yes,Double charge for carry-on plus customer-service complaint.
